,State,County,year,month,avg(NO2 Mean)
3477,California,Los Angeles,2007,10,30.572927349514558
3478,California,Orange,2007,8,6.938043000000001
3479,Arizona,Maricopa,2005,10,25.112215016666735
3480,Pennsylvania,Westmoreland,2005,9,12.860978200000003
3481,Maryland,Baltimore,2006,6,9.455298333333342
3482,North Carolina,Mecklenburg,2006,7,10.235622387096768
3483,Virginia,Fairfax,2006,10,11.840725827586194
3484,Texas,El Paso,2004,7,10.391676131147541
3485,Michigan,Kent,2005,4,15.913157766666677
3486,Colorado,Denver,2006,8,25.57750795833333
3487,District Of Columbia,District of Columbia,2006,9,12.717402366666658
3488,New Hampshire,Hillsborough,2006,9,8.223943566666664
3489,Pennsylvania,Erie,2006,9,8.818523857142855
3490,New York,Bronx,2005,8,25.840010870967742
3491,Pennsylvania,Blair,2005,4,11.851113666666672
3492,California,Orange,2006,12,28.035445612903214
3493,Louisiana,East Baton Rouge,2006,3,14.345596225806462
3494,Pennsylvania,Washington,2006,5,12.237903225806457
3495,California,Santa Barbara,2005,5,3.363503177419357
3496,Florida,Orange,2005,4,8.062296655172414
3497,California,Riverside,2006,8,17.48106593548388
3498,California,Santa Cruz,2006,5,4.745850903225804
3499,Oklahoma,Cherokee,2006,2,11.533333399999998
3500,New York,Suffolk,2005,8,10.980565064516123
3501,Pennsylvania,Beaver,2005,10,14.619990193548391
3502,North Carolina,Mecklenburg,2006,3,9.875
3503,Pennsylvania,Bucks,2006,4,13.8125
3504,Pennsylvania,Lawrence,2006,9,12.459255533333335
3505,Virginia,Alexandria City,2006,5,19.797908565217394
3506,California,Riverside,2007,9,17.59120773333332
3507,Louisiana,East Baton Rouge,2005,4,15.934053466666677
3508,Pennsylvania,Allegheny,2005,9,21.36742427272728
3509,Pennsylvania,York,2005,8,13.8540205483871
3510,Colorado,Adams,2006,5,16.43107336
3511,Pennsylvania,Northampton,2006,9,9.692528566666669
3512,Arkansas,Pulaski,2007,2,12.626988142857133
3513,California,Los Angeles,2005,8,19.00074024897963
3514,California,San Diego,2005,12,31.088220933333318
3515,Illinois,Cook,2005,8,25.000934967741955
3516,Pennsylvania,Allegheny,2005,8,20.537878806451612
3517,Texas,Harris,2005,5,7.792488161290321
3518,Arizona,Pima,2006,4,14.370092933333337
3519,Maine,Aroostook,2006,6,0.992879
3520,Pennsylvania,Dauphin,2006,6,10.47192036666667
3521,Pennsylvania,York,2006,3,18.583333
3522,Pennsylvania,York,2006,5,14.2513661724138
3523,California,Imperial,2005,12,28.115875258064502
3524,California,Orange,2005,7,4.992987354838712
3525,California,Orange,2005,9,11.251674766666664
3526,California,Santa Cruz,2005,7,2.9944164516129024
3527,Pennsylvania,Lackawanna,2005,3,13.75
3528,Arizona,Maricopa,2006,4,22.759112359116035
3529,New Hampshire,Hillsborough,2006,4,9.075241533333338
3530,California,Imperial,2007,6,12.274687200000004
3531,California,Santa Barbara,2006,11,5.555030050000001
3532,California,Imperial,2005,8,10.492378071428567
3533,Pennsylvania,Westmoreland,2005,8,10.704968258064518
3534,California,Imperial,2006,9,10.768267699999994
3535,California,Sacramento,2006,6,9.405116390243895
3536,Wisconsin,Milwaukee,2006,6,12.544135333333337
3537,Arkansas,Pulaski,2007,6,9.0335749
3538,California,Humboldt,2007,12,5.036257231578944
3539,California,Sacramento,2007,7,6.345406322580649
3540,California,Los Angeles,2006,2,32.621090269230734
3541,California,Santa Cruz,2006,6,4.061715033333335
3542,Indiana,Marion,2006,6,16.422727319999996
3543,Oklahoma,Cherokee,2006,8,4.556562111111109
3544,Pennsylvania,Northampton,2006,4,11.641132766666665
3545,South Carolina,Charleston,2006,8,0.7956013999999999
3546,Arizona,Maricopa,2005,3,21.37247534444444
3547,California,Imperial,2005,6,7.231641833333334
3548,Michigan,Wayne,2005,4,17.668373499999998
3549,Oklahoma,Cherokee,2005,3,11.773458967741929
3550,California,Riverside,2006,11,26.87826083333334
3551,Pennsylvania,Cambria,2006,3,15.0
3552,Pennsylvania,Dauphin,2006,3,19.083333
3553,Texas,Harris,2006,7,8.683348559322031
3554,California,Fresno,2007,6,10.16179183333333
3555,Pennsylvania,Westmoreland,2004,6,11.193678206896548
3556,California,San Diego,2005,11,30.278763428571445
3557,California,Santa Cruz,2005,5,3.0287252258064514
3558,New Hampshire,Hillsborough,2005,8,7.959675599999994
3559,California,Orange,2006,2,25.543831178571445
3560,California,San Diego,2006,2,29.500164607142853
3561,Colorado,Denver,2006,10,25.335930451612917
3562,Maryland,Baltimore,2006,2,14.867805285714285
3563,Pennsylvania,Allegheny,2006,3,20.291667
3564,Pennsylvania,Blair,2006,4,11.517692476190472
3565,Pennsylvania,Dauphin,2006,5,14.084560516129036
3566,Texas,El Paso,2006,4,10.669699950000007
3567,Pennsylvania,York,2004,5,11.619007387096783
3568,Arizona,Pima,2005,9,12.850790533333331
3569,Connecticut,New Haven,2006,7,21.02616909677419
3570,New York,Queens,2006,9,20.622814227272723
3571,Pennsylvania,Northampton,2006,8,9.736718516129033
3572,Arizona,Maricopa,2005,11,30.07152181818186
3573,Florida,Orange,2005,5,6.25261135483871
3574,Illinois,Saint Clair,2005,7,13.880949032258062
3575,Pennsylvania,Lawrence,2005,5,13.387628096774188
3576,Pennsylvania,York,2006,8,11.956500516129028
3577,California,Solano,2005,1,15.197138548387098
3578,Kansas,Wyandotte,2005,11,15.85474746666667
3579,New York,Suffolk,2005,9,12.813097931034477
3580,New York,Queens,2006,6,22.61713556666667
3581,Pennsylvania,York,2006,6,10.106441199999995
3582,California,Contra Costa,2005,2,13.367002392857133
3583,California,Orange,2005,12,26.178201678571416
3584,Arizona,Maricopa,2006,6,17.403421855555575
3585,California,Orange,2006,7,5.531781580645167
3586,Texas,Harris,2006,1,15.358443833333336
3587,California,Los Angeles,2005,5,17.46340171774188
3588,Massachusetts,Suffolk,2005,6,15.806251833333324
3589,New Jersey,Camden,2005,11,17.98905718518519
3590,New York,Bronx,2005,11,31.106885000000002
3591,Pennsylvania,Blair,2005,8,7.8863094999999985
3592,California,Contra Costa,2006,5,7.778407314516125
3593,California,Los Angeles,2006,10,23.997880532258073
3594,New Jersey,Camden,2006,3,17.41647934482758
3595,Texas,Dallas,2006,10,17.817578966666677
3596,Texas,Dallas,2006,12,12.961666799999994
3597,Pennsylvania,Cambria,2005,8,9.327850741935485
3598,Pennsylvania,Northampton,2005,3,12.208333
3599,Pennsylvania,Berks,2006,4,16.758695633333332
3600,District Of Columbia,District of Columbia,2005,1,25.80796041935484
3601,Michigan,Wayne,2005,5,20.606595880000004
3602,Kansas,Linn,2006,8,1.3863636
3603,California,Riverside,2006,10,19.625426967741937
3604,Pennsylvania,Berks,2006,5,22.5625
3605,Arizona,Pima,2005,7,12.149601838709684
3606,Pennsylvania,Lackawanna,2005,9,8.954444400000003
3607,Pennsylvania,Washington,2005,8,11.905596741935478
3608,California,San Diego,2006,8,12.862349480874313
3609,Florida,Orange,2006,1,11.143049096774192
3610,Pennsylvania,Westmoreland,2006,5,10.845454580645159
3611,California,Contra Costa,2007,1,17.334027442622922
3612,Pennsylvania,Washington,2005,5,10.343718709677415
3613,California,Los Angeles,2006,4,17.657608691666685
3614,California,Los Angeles,2006,11,32.55411727499997
3615,California,Orange,2006,11,23.450310499999993
3616,New Hampshire,Hillsborough,2006,7,5.799017999999999
3617,Pennsylvania,Cambria,2006,10,11.469381375000005
3618,California,Riverside,2007,12,20.14777506451612
3619,California,San Bernardino,2005,5,16.198361677419378
3620,Missouri,Saint Louis,2005,10,12.585931225806457
3621,Pennsylvania,Montgomery,2005,8,14.122291266666661
3622,Pennsylvania,York,2005,5,14.580995838709676
3623,Arizona,Maricopa,2006,5,19.7661065376344
3624,Oklahoma,Cherokee,2006,6,5.493029966666665
3625,Louisiana,East Baton Rouge,2005,11,20.623051999999994
3626,California,Sacramento,2006,10,17.39852735483871
3627,California,San Francisco,2006,12,24.790658935483883
3628,Connecticut,New Haven,2006,9,16.279730733333334
3629,Illinois,Saint Clair,2006,5,14.298097935483868
3630,Illinois,Saint Clair,2006,6,14.175808133333332
3631,Missouri,St. Louis City,2006,5,14.277073709677426
3632,New Jersey,Camden,2006,10,17.736559032258082
3633,Pennsylvania,Beaver,2006,6,13.748611166666667
3634,Pennsylvania,Washington,2006,6,11.26572643333332
3635,California,Santa Barbara,2005,9,4.143671683333328
3636,Louisiana,East Baton Rouge,2005,9,13.327940166666663
3637,Missouri,Saint Louis,2005,4,10.097584566666663
3638,Missouri,Saint Louis,2005,9,13.285580533333333
3639,New York,Bronx,2005,2,27.65524616666667
3640,Pennsylvania,Beaver,2005,9,15.515205666666667
3641,Pennsylvania,York,2004,7,10.780359827586205
3642,Illinois,Cook,2005,9,24.771124233333335
3643,Pennsylvania,Northampton,2005,8,12.241117322580656
3644,California,Santa Cruz,2006,4,2.728715533333332
3645,Illinois,Saint Clair,2006,4,16.77431892857142
3646,Louisiana,Jefferson,2006,1,10.961279444444441
3647,Arizona,Maricopa,2007,4,20.14283117355369
3648,Pennsylvania,Westmoreland,2004,3,13.625
3649,Louisiana,East Baton Rouge,2006,2,16.399590821428568
3650,New York,Suffolk,2006,6,12.982358377358482
3651,Pennsylvania,Blair,2006,10,12.622993645161289
3652,Pennsylvania,Lancaster,2006,7,8.482330322580646
3653,Texas,El Paso,2006,11,18.764517200000014
3654,Arizona,Maricopa,2007,5,19.616173309523816
3655,California,Sacramento,2007,5,7.732489645161288
3656,California,Los Angeles,2005,3,22.366464060344832
3657,California,Los Angeles,2005,6,15.124656470588238
3658,North Carolina,Mecklenburg,2005,10,14.624766290322588
3659,California,Riverside,2006,3,16.26086948387098
3660,Colorado,Adams,2006,7,17.305804032258056
3661,Massachusetts,Suffolk,2006,1,21.702684903225805
3662,Texas,Dallas,2006,3,14.459076000000003
3663,California,Imperial,2007,1,18.050893354838696
3664,California,Orange,2007,6,4.386817166666663
3665,California,Santa Barbara,2006,12,6.9604094193548365
3666,Kansas,Wyandotte,2005,9,17.989992366666662
3667,Pennsylvania,Philadelphia,2005,5,18.289656344827577
3668,Arizona,Maricopa,2006,8,13.739923559139774
3669,California,Solano,2006,3,12.563001290322594
3670,Missouri,St. Louis City,2006,4,16.21373730000001
3671,Pennsylvania,Blair,2006,8,8.578482903225808
3672,Pennsylvania,Westmoreland,2004,8,11.701985099999998
3673,California,Solano,2005,5,5.536801838709681
3674,Pennsylvania,Blair,2005,3,20.625
3675,Pennsylvania,Philadelphia,2005,12,29.269972454545442
3676,California,Santa Cruz,2006,1,3.577723258064512
3677,California,Santa Cruz,2006,8,3.0049672580645153
3678,Michigan,Kent,2006,6,11.733168566666656
3679,Virginia,Alexandria City,2006,10,18.329308750000003
3680,Arizona,Pima,2005,5,13.825035032258066
3681,Kansas,Linn,2005,12,5.2117139354838695
3682,Louisiana,East Baton Rouge,2005,12,21.169895967741933
3683,California,San Francisco,2006,11,19.659420266666654
3684,Colorado,Adams,2006,12,28.358700833333323
3685,District Of Columbia,District of Columbia,2006,7,11.748655806451625
3686,California,San Francisco,2005,5,7.0953716451612845
3687,District Of Columbia,District of Columbia,2005,7,18.912940068965522
3688,Louisiana,East Baton Rouge,2005,5,13.427363451612907
3689,Massachusetts,Suffolk,2005,8,16.91819932258064
3690,New York,Bronx,2005,10,22.829037042553185
3691,Pennsylvania,Lackawanna,2005,7,8.371463241379315
3692,California,San Diego,2006,4,16.129953211111108
3693,Maine,Aroostook,2006,5,1.725551045454547
3694,New York,Suffolk,2006,7,11.192029032258057
3695,Pennsylvania,Northampton,2006,6,8.811290099999997
3696,Virginia,Fairfax,2006,3,12.90534123655916
3697,California,Riverside,2007,7,14.161785818181817
3698,California,Sacramento,2005,10,14.206148838709682
3699,Pennsylvania,Blair,2005,5,9.884726322580642
3700,California,San Bernardino,2006,12,22.058102700000006
3701,Pennsylvania,Luzerne,2006,10,8.974481666666664
3702,Virginia,Fairfax,2006,4,11.577675322222227
3703,Virginia,Fairfax,2006,8,8.734628282608698
3704,Country Of Mexico,BAJA CALIFORNIA NORTE,2006,8,12.86924754794521
3705,California,Sacramento,2007,1,20.05165193442622
3706,California,Sacramento,2007,6,7.691649771929818
3707,California,Los Angeles,2005,1,27.899365064516108
3708,California,San Francisco,2005,2,19.102484464285713
3709,Kansas,Wyandotte,2005,1,17.34420819354839
3710,New Hampshire,Hillsborough,2005,11,12.426583481481487
3711,Kansas,Wyandotte,2006,8,13.082515193548392
3712,Pennsylvania,Lackawanna,2006,9,8.667460299999997
3713,California,Sacramento,2005,4,8.396583166666668
3714,District Of Columbia,District of Columbia,2005,2,31.769151071428574
3715,North Carolina,Mecklenburg,2006,6,11.7333454
3716,Arizona,Pima,2005,2,15.449345928571432
3717,California,Contra Costa,2005,6,6.441989950000005
3718,California,Los Angeles,2005,11,33.187357549999966
3719,Illinois,Cook,2005,5,24.29900483870968
3720,Indiana,Marion,2005,7,11.558445225806446
3721,New York,Queens,2005,8,20.729708290322566
3722,California,Los Angeles,2006,5,16.510231810344838
3723,California,San Francisco,2006,8,8.230885999999995
3724,Kansas,Linn,2006,3,1.9523339354838714
3725,California,Humboldt,2007,5,2.1495606451612894
3726,California,Humboldt,2007,10,3.9417765483870966
3727,California,San Diego,2005,1,26.03790531034483
3728,California,San Diego,2005,5,13.879285342541436
3729,California,Solano,2005,11,15.99129658620689
3730,Kansas,Linn,2005,5,1.8148042916666671
3731,Pennsylvania,Beaver,2005,3,23.75
3732,Pennsylvania,Allegheny,2006,5,16.60069968965516
3733,Texas,El Paso,2004,4,11.378475611111105
3734,California,Riverside,2005,6,12.852011259259257
3735,Illinois,Saint Clair,2005,6,12.054836433333328
3736,Illinois,Saint Clair,2005,12,16.95509065517241
3737,Missouri,St. Louis City,2006,8,9.213709741935482
3738,New York,Bronx,2006,1,27.456759806451604
3739,Michigan,Wayne,2005,7,16.063620096774187
3740,New Jersey,Camden,2005,1,24.940787166666663
3741,New York,Queens,2005,3,29.885174928571445
3742,Oklahoma,Ottawa,2005,3,9.112435677419349
3743,Pennsylvania,Washington,2005,10,14.26868853846153
3744,California,Riverside,2006,7,16.814866774193547
3745,Louisiana,East Baton Rouge,2006,4,14.023896199999989
3746,Louisiana,East Baton Rouge,2006,11,17.279455299999995
3747,Oklahoma,Tulsa,2006,11,12.384956699999998
3748,California,Contra Costa,2005,3,10.773109290322598
3749,Texas,El Paso,2005,2,13.010101
3750,California,Imperial,2006,5,12.409061225806452
3751,Maine,Aroostook,2006,2,2.702532678571429
3752,Pennsylvania,Philadelphia,2005,2,28.868254
3753,California,Sacramento,2005,5,6.07493348979591
3754,New York,Suffolk,2005,1,15.417548580645168
3755,Kansas,Linn,2006,7,2.9099848571428555
3756,Pennsylvania,Lackawanna,2006,8,7.475038387096778
3757,Country Of Mexico,BAJA CALIFORNIA NORTE,2006,7,13.793446868852458
3758,California,San Bernardino,2005,7,21.051762200000027
3759,New York,Suffolk,2005,3,15.175651903225813
3760,Pennsylvania,Northampton,2005,7,9.807795709677421
3761,Pennsylvania,Washington,2005,4,12.21527783333333
3762,California,Imperial,2007,4,12.361660833333351
3763,Texas,Harris,2004,2,16.861230827586198
3764,Arizona,Maricopa,2005,5,21.749595899999992
3765,Kansas,Wyandotte,2005,10,17.356063612903228
3766,New Jersey,Camden,2005,10,15.554698918032791
3767,Texas,Dallas,2005,2,19.049611363636362
3768,Michigan,Kent,2006,4,13.733421033333338
3769,Pennsylvania,Allegheny,2006,8,16.586388129032258
3770,Texas,El Paso,2004,9,12.44916748333333
3771,California,Riverside,2005,7,19.09171911475409
3772,New York,Suffolk,2006,11,13.6753404
3773,Texas,Harris,2006,3,11.560823512195123
3774,New York,Queens,2005,6,22.08384913333333
3775,Texas,Dallas,2005,4,15.587212366666657
3776,Texas,El Paso,2005,1,18.584371370967727
3777,New York,Bronx,2006,12,27.01548158064517
3778,Pennsylvania,York,2006,9,14.636822399999996
3779,Texas,Harris,2004,8,9.705860379310346
3780,Kansas,Linn,2005,9,2.5433733636363622
3781,Massachusetts,Suffolk,2005,5,17.5581916451613
3782,California,Los Angeles,2006,12,29.808839355371937
3783,California,Orange,2006,1,23.896222173913053
3784,California,San Bernardino,2006,8,20.18130816129032
3785,Maryland,Baltimore,2006,7,9.72329577777778
3786,Massachusetts,Suffolk,2006,12,21.0681170967742
3787,Michigan,Wayne,2006,4,12.165036266666663
3788,Pennsylvania,Lackawanna,2006,6,8.101600999999997
3789,South Carolina,Charleston,2006,11,2.863190366666666
3790,Arizona,Pima,2007,2,16.11815121428571
3791,Arkansas,Pulaski,2007,12,12.666958838709679
3792,California,Contra Costa,2007,10,11.292543741935509
3793,California,Los Angeles,2007,2,25.32794487128713
3794,California,Sacramento,2007,4,10.237049063829785
3795,California,Sacramento,2005,1,14.2005424516129
3796,Massachusetts,Suffolk,2005,3,21.995253193548383
3797,Pennsylvania,Lawrence,2005,3,15.578947
3798,California,San Diego,2006,10,23.246643022222205
3799,California,San Francisco,2006,3,15.207196483870977
3800,Colorado,Denver,2006,3,34.60459253333334
3801,Kansas,Wyandotte,2006,5,14.615187466666667
3802,New York,Suffolk,2006,5,10.147027950819675
3803,Pennsylvania,Lackawanna,2006,3,18.75
3804,California,Orange,2005,8,5.940478419354839
3805,Arizona,Pima,2006,3,16.34892045161291
3806,Pennsylvania,Lawrence,2006,6,13.934523785714282
3807,Texas,Dallas,2006,6,13.709684518518516
3808,Texas,El Paso,2006,8,8.253183414141409
3809,Texas,Harris,2006,10,17.492352048387097
3810,California,Orange,2005,3,9.373043363636357
3811,Colorado,Denver,2005,11,36.00910195833335
3812,District Of Columbia,District of Columbia,2005,11,18.3203424
3813,Illinois,Cook,2005,10,22.004291096774185
3814,New Hampshire,Hillsborough,2005,10,24.086957
3815,Pennsylvania,Lawrence,2005,6,13.006038566666676
3816,Texas,Harris,2005,12,19.56368700000001
3817,California,Los Angeles,2006,6,19.745780783333323
3818,California,Santa Cruz,2006,10,4.332222903225807
3819,District Of Columbia,District of Columbia,2006,3,17.42258496774193
3820,Illinois,Cook,2006,4,24.58160803333334
3821,California,Imperial,2007,8,10.252646666666676
3822,Colorado,Denver,2005,7,19.249275964912258
3823,Indiana,Marion,2005,6,10.885369999999998
3824,North Carolina,Mecklenburg,2005,6,10.2526946
3825,Pennsylvania,Berks,2005,7,14.206638580645162
3826,Pennsylvania,Cambria,2005,9,9.530434800000004
3827,California,Solano,2006,9,9.449752166666663
3828,Colorado,Denver,2006,11,35.98823460000002
3829,Kansas,Wyandotte,2006,9,13.777475899999992
3830,Pennsylvania,Lackawanna,2006,4,11.645891803921568
3831,Pennsylvania,Luzerne,2006,7,9.21498993548387
3832,Texas,Harris,2006,11,17.741257396551728
3833,California,Sacramento,2007,12,13.39854633870967
3834,California,Santa Cruz,2005,10,4.754700161290321
3835,Kansas,Wyandotte,2005,12,17.59055162068965
3836,Pennsylvania,Lawrence,2005,4,17.279106266666666
3837,Texas,Dallas,2005,8,13.995853875000003
3838,Arizona,Pima,2006,11,17.73180726666667
3839,California,San Bernardino,2006,2,23.236409107142872
3840,California,Santa Cruz,2006,12,4.535239576923078
3841,Colorado,Denver,2006,5,28.529973633333334
3842,Pennsylvania,Allegheny,2006,6,16.982539699999997
3843,Pennsylvania,York,2006,4,14.666327800000007
3844,California,Fresno,2007,3,16.579333749999986
3845,Missouri,St. Louis City,2005,6,13.864191866666667
3846,Massachusetts,Suffolk,2006,3,21.670675645161293
3847,Texas,Dallas,2004,12,19.735895870967738
3848,California,San Diego,2005,7,12.600647404494364
3849,Florida,Orange,2005,3,11.358137838709673
3850,Illinois,Saint Clair,2005,11,14.09087066666667
3851,Pennsylvania,Berks,2005,9,18.384499666666677
3852,Kansas,Linn,2006,6,2.7944320000000005
3853,Maine,Aroostook,2006,9,1.6253954000000006
3854,Michigan,Wayne,2006,5,15.64765748387096
3855,Arizona,Pima,2007,8,9.205406032258065
3856,Arkansas,Pulaski,2007,9,9.925574758620687
3857,Texas,Harris,2004,5,11.058212586206889
3858,Pennsylvania,Beaver,2005,8,16.327179258064515
3859,Texas,El Paso,2005,12,20.864222870967723
3860,California,San Bernardino,2006,10,20.469845741935483
3861,California,Santa Cruz,2006,7,3.7050608387096786
3862,California,Contra Costa,2005,12,13.714190403225821
3863,California,San Francisco,2006,6,9.318642899999995
3864,Colorado,Denver,2006,2,35.13331846428573
3865,Louisiana,East Baton Rouge,2006,1,18.158241709677423
3866,Pennsylvania,Dauphin,2006,4,11.548589199999993
3867,Pennsylvania,Dauphin,2006,10,12.001029548387098
3868,Texas,El Paso,2006,1,17.069344473684215
3869,Texas,El Paso,2006,10,14.770401818181814
3870,Arizona,Maricopa,2005,1,25.00111383870962
3871,Kansas,Linn,2005,10,3.0066217407407403
3872,Pennsylvania,Allegheny,2005,5,21.116428560000003
3873,Maine,Aroostook,2006,3,2.2802997419354822
3874,Pennsylvania,Philadelphia,2006,8,15.1244155483871
3875,California,Santa Barbara,2006,8,2.9088270406504053
3876,California,Orange,2005,1,23.386397285714274
3877,Pennsylvania,Bucks,2005,4,14.943026933333332
3878,Texas,Dallas,2005,1,15.443695892857141
3879,California,Santa Cruz,2006,9,3.8574823999999994
3880,Indiana,Marion,2006,7,14.723998000000012
3881,Pennsylvania,Philadelphia,2006,3,23.41547813333333
3882,California,Contra Costa,2005,9,9.550538327731088
3883,District Of Columbia,District of Columbia,2005,8,11.77038606451613
3884,California,Santa Cruz,2006,11,4.732608733333334
3885,Colorado,Adams,2006,2,23.800503384615403
3886,Colorado,Adams,2006,11,25.948320099999997
3887,Colorado,Denver,2006,1,29.35238665384613
3888,Arkansas,Pulaski,2007,5,10.624755612903224
3889,California,Riverside,2007,11,28.910420966666653
3890,Texas,El Paso,2004,10,11.349064101694918
3891,Arizona,Pima,2005,8,11.059022903225802
3892,Pennsylvania,Lackawanna,2005,10,10.529789806451616
3893,Pennsylvania,York,2005,9,16.134843066666654
3894,District Of Columbia,District of Columbia,2006,1,17.71789067741936
3895,Texas,Dallas,2004,9,19.649857999999988
3896,Texas,El Paso,2004,1,18.596749306451606
3897,Massachusetts,Suffolk,2005,2,21.40153042857143
3898,Pennsylvania,Allegheny,2005,4,22.8027778
3899,California,Riverside,2006,5,14.335203258064501
3900,Michigan,Kent,2006,5,11.829493064516132
3901,Oklahoma,Cherokee,2006,4,4.952891466666671
3902,Virginia,Alexandria City,2006,7,16.779433479999998
3903,District Of Columbia,District of Columbia,2005,9,16.198317699999993
3904,Louisiana,East Baton Rouge,2005,7,11.052011677419342
3905,Pennsylvania,Washington,2005,7,9.25806451612903
3906,Connecticut,New Haven,2006,6,16.138783880000002
3907,Maine,Aroostook,2006,10,2.4356956774193526
3908,Arizona,Pima,2007,5,9.065530032258062
3909,California,Humboldt,2007,11,5.594762299999996
3910,Pennsylvania,Erie,2005,10,10.728319290322586
3911,Pennsylvania,Montgomery,2005,6,10.755720200000003
3912,District Of Columbia,District of Columbia,2006,10,14.532876322580636
3913,Maine,Aroostook,2006,1,5.489154096774191
3914,Pennsylvania,Lancaster,2006,3,15.45
3915,Michigan,Kent,2005,8,13.329108200000004
3916,Oklahoma,Cherokee,2005,5,8.115524419354845
3917,Pennsylvania,Philadelphia,2005,11,27.583839321428563
3918,California,San Bernardino,2006,4,16.209156766666663
3919,District Of Columbia,District of Columbia,2006,8,14.368279516129038
3920,Kansas,Linn,2006,5,1.6452897000000015
3921,Pennsylvania,Cambria,2006,8,7.92917783870968
3922,Country Of Mexico,BAJA CALIFORNIA NORTE,2006,2,28.140557973684174
3923,Arizona,Maricopa,2007,8,13.452019645161288
3924,California,Santa Barbara,2006,10,4.699371935483875
3925,California,Los Angeles,2005,2,23.220579616071415
3926,California,Solano,2006,1,14.998263580645155
3927,Illinois,Cook,2006,9,20.05573116666666
3928,Kansas,Linn,2006,4,1.6877164000000004
3929,California,Contra Costa,2007,11,15.796978008403359
3930,Pennsylvania,Westmoreland,2004,5,11.945428847457624
3931,New York,Queens,2005,12,29.214601379310352
3932,North Carolina,Mecklenburg,2005,5,12.23964612903226
3933,Pennsylvania,Northampton,2005,4,13.996678766666664
3934,Pennsylvania,Montgomery,2006,5,13.41333332
3935,New York,Bronx,2005,7,22.16337283870968
3936,New York,Suffolk,2005,7,10.368199935483876
3937,California,Imperial,2006,8,7.05655177419355
3938,California,Sacramento,2006,9,13.510507166666665
3939,Colorado,Adams,2006,6,20.08749322222222
3940,Indiana,Marion,2006,5,11.351905500000006
3941,Kansas,Wyandotte,2006,10,15.374532451612902
3942,Louisiana,East Baton Rouge,2006,6,14.869814633333336
3943,Oklahoma,Tulsa,2006,12,14.250488709677422
3944,Pennsylvania,Bucks,2006,10,14.312607129032255
3945,Texas,Harris,2006,4,7.351086100000002
3946,California,Sacramento,2007,11,19.864872333333338
3947,Missouri,St. Louis City,2005,3,9.375
3948,Pennsylvania,Cambria,2005,3,16.0
3949,Texas,Harris,2005,11,16.565796851851854
3950,Pennsylvania,Philadelphia,2006,10,21.208699903225813
3951,California,Fresno,2007,12,21.47526451612904
3952,California,Sacramento,2007,2,11.399219047619049
3953,New Hampshire,Hillsborough,2005,5,7.670678548387098
3954,Pennsylvania,Philadelphia,2005,7,16.350457208333328
3955,California,Los Angeles,2006,1,26.762242735537182
3956,California,Los Angeles,2006,9,23.741790236842103
3957,Pennsylvania,Lancaster,2006,8,10.36213296774193
3958,Country Of Mexico,BAJA CALIFORNIA NORTE,2006,1,27.94931656043952
3959,Texas,Dallas,2004,2,19.226455482758627
3960,Illinois,Cook,2005,3,18.25
3961,New York,Queens,2005,5,21.54390751612903
3962,Illinois,Cook,2006,5,23.3750551935484
3963,Louisiana,East Baton Rouge,2006,5,16.048620064516122
3964,New York,Queens,2006,5,20.465591096774197
3965,Oklahoma,Cherokee,2006,9,6.217819399999996
3966,Pennsylvania,Lackawanna,2006,7,8.689393967741932
3967,Pennsylvania,Lancaster,2006,6,9.424729466666669
3968,California,Imperial,2007,10,15.050557645161298
3969,Texas,Dallas,2005,5,14.01363186206896
3970,Arizona,Maricopa,2006,9,17.41964396638657
3971,Kansas,Wyandotte,2006,11,17.035478266666658
3972,Massachusetts,Suffolk,2006,7,15.253712066666669
3973,New York,Bronx,2006,8,20.07783829032258
3974,Pennsylvania,Philadelphia,2006,6,15.18648980000001
3975,Virginia,Alexandria City,2006,8,18.30471538709678
3976,Texas,Dallas,2004,5,11.064694161290317
3977,Arizona,Maricopa,2005,4,24.234189878453034
3978,California,Orange,2005,4,11.199868888888885
3979,California,Sacramento,2005,3,9.579565885245907
3980,Louisiana,East Baton Rouge,2005,10,17.881659322580642
3981,Missouri,St. Louis City,2005,4,14.916627033333327
3982,California,Imperial,2006,1,22.457748129032257
3983,Pennsylvania,Bucks,2006,8,15.981009448275865
3984,California,Santa Cruz,2005,8,3.6453950967741937
3985,Florida,Orange,2005,7,6.080092935483864
3986,New Jersey,Camden,2005,4,20.41210247619047
3987,New York,Queens,2005,11,34.627913769230766
3988,Pennsylvania,Blair,2005,9,9.051388933333328
3989,New Jersey,Camden,2006,6,14.193806200000003
3990,Pennsylvania,Philadelphia,2006,2,30.867735964285714
3991,South Carolina,Charleston,2006,4,1.9645202000000024
3992,Arkansas,Pulaski,2007,11,11.21881303333334
3993,Pennsylvania,Bucks,2005,6,11.97041616666667
3994,Florida,Orange,2006,8,8.077659258064513
3995,Pennsylvania,Westmoreland,2006,9,8.122757066666669
3996,California,Imperial,2005,4,12.15197556666666
3997,Kansas,Linn,2005,8,2.571969769230769
3998,Missouri,St. Louis City,2005,8,13.612676580645157
3999,Pennsylvania,Berks,2005,4,17.8699056
4000,Pennsylvania,Erie,2005,4,15.574810266666656
4001,New York,Queens,2006,3,25.05894770967743
4002,Arkansas,Pulaski,2007,4,9.759178766666672
4003,Colorado,Adams,2005,1,23.309129161290333
